gene1	gene2	goIds1	goIds2
hsa:5425	hsa:5983	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0046683', 'GO:0006260', 'GO:0000731', 'GO:0006261', 'GO:1900264', 'GO:0006271', 'GO:0008150']
hsa:5425	hsa:5111	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']
hsa:5425	hsa:57804	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0001938', 'GO:0006261']
hsa:5425	hsa:5985	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0006261', 'GO:1900264', 'GO:0008150']
hsa:5425	hsa:4437	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0045910', 'GO:0006298', 'GO:0006281', 'GO:0051096', 'GO:0043570', 'GO:0016447', 'GO:0016446']
hsa:5425	hsa:3978	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0006303', 'GO:0006281', 'GO:0006298', 'GO:0006260', 'GO:0006287', 'GO:0033151', 'GO:0006266', 'GO:0042542', 'GO:0006284', 'GO:0009653']
hsa:5425	hsa:29935	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0000077', 'GO:0006281', 'GO:0006289', 'GO:0033260', 'GO:0006270']
hsa:5425	hsa:5981	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0000122', 'GO:0045892', 'GO:0006261', 'GO:0007004', 'GO:0045893']
hsa:5425	hsa:27030	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0006974', 'GO:0006298', 'GO:0007140', 'GO:0007144', 'GO:0008104', 'GO:0007130', 'GO:0008150']
hsa:5425	hsa:6742	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0007005', 'GO:0090297', 'GO:0051096', 'GO:0051289', 'GO:0006268']
hsa:5425	hsa:4436	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0006302', 'GO:0014070', 'GO:0045910', 'GO:0043524', 'GO:0045190', 'GO:0008584', 'GO:0001701', 'GO:0016447', 'GO:0008340', 'GO:0048298', 'GO:0042771', 'GO:0031573', 'GO:0009410', 'GO:0007281', 'GO:0051096', 'GO:0030183', 'GO:0071168', 'GO:0007283', 'GO:0008630', 'GO:0051726', 'GO:0006974', 'GO:0006281', 'GO:0006301', 'GO:0016446', 'GO:0019724', 'GO:0002204', 'GO:0006298', 'GO:0010224', 'GO:0043200', 'GO:0010165', 'GO:0006119', 'GO:0043570', 'GO:0048304']
hsa:5425	hsa:6119	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0000724', 'GO:0006281', 'GO:0006298', 'GO:0006260', 'GO:0006289', 'GO:0007346', 'GO:0000723', 'GO:0042127', 'GO:0006284']
hsa:5425	hsa:6118	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0034502', 'GO:0000724', 'GO:0006298', 'GO:0006260', 'GO:0006289', 'GO:0010569', 'GO:0000723', 'GO:2000001', 'GO:0031571', 'GO:0006284']
hsa:5425	hsa:5395	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']	['GO:0048304', 'GO:0048298', 'GO:0006974', 'GO:0006281', 'GO:0006298', 'GO:0051321', 'GO:0016447', 'GO:0016446']
hsa:5111	hsa:9156	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0002455', 'GO:0006298', 'GO:0006281', 'GO:0045190', 'GO:0006310', 'GO:0090656', 'GO:0016446', 'GO:0008150']
hsa:5111	hsa:5982	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0006261', 'GO:1900264', 'GO:0008150']
hsa:5111	hsa:2956	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0045910', 'GO:0006298', 'GO:0006281', 'GO:0045190', 'GO:0097193', 'GO:0051096', 'GO:0009411', 'GO:0043570', 'GO:0016447', 'GO:0008340', 'GO:0016446', 'GO:0008630']
hsa:5111	hsa:4292	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0045132', 'GO:0045190', 'GO:0045143', 'GO:0051321', 'GO:0001666', 'GO:0051257', 'GO:0045950', 'GO:0016447', 'GO:0048298', 'GO:0009410', 'GO:0006303', 'GO:0009617', 'GO:0000712', 'GO:0045141', 'GO:0007283', 'GO:0008630', 'GO:0006974', 'GO:0006281', 'GO:0007129', 'GO:0009636', 'GO:0071407', 'GO:0043060', 'GO:0016446', 'GO:0002204', 'GO:0007060', 'GO:0016321', 'GO:0006298', 'GO:0007140', 'GO:0000289', 'GO:0048477', 'GO:0048304', 'GO:0007131']
hsa:5111	hsa:6117	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0034502', 'GO:0051276', 'GO:0006974', 'GO:0000724', 'GO:0006281', 'GO:0006298', 'GO:0006260', 'GO:0006289', 'GO:0006310', 'GO:1990166', 'GO:0051321', 'GO:0000723', 'GO:0006261', 'GO:0008284', 'GO:0001701', 'GO:0030097', 'GO:0006284', 'GO:0048873']
hsa:5111	hsa:10714	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0006297', 'GO:0006261', 'GO:0042276', 'GO:0071897']
hsa:5111	hsa:5984	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0006261', 'GO:1900264', 'GO:0006271', 'GO:0008150']
hsa:5111	hsa:5424	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0055089', 'GO:0006281', 'GO:0006260', 'GO:0009411', 'GO:0006287', 'GO:0034644', 'GO:0006297', 'GO:0000731', 'GO:0006261', 'GO:0045004', 'GO:0070987', 'GO:0071897']
hsa:5111	hsa:5983	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0046683', 'GO:0006260', 'GO:0000731', 'GO:0006261', 'GO:1900264', 'GO:0006271', 'GO:0008150']
hsa:5111	hsa:5425	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']
hsa:5111	hsa:57804	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0001938', 'GO:0006261']
hsa:5111	hsa:5985	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0006261', 'GO:1900264', 'GO:0008150']
hsa:5111	hsa:4437	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0045910', 'GO:0006298', 'GO:0006281', 'GO:0051096', 'GO:0043570', 'GO:0016447', 'GO:0016446']
hsa:5111	hsa:3978	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0006303', 'GO:0006281', 'GO:0006298', 'GO:0006260', 'GO:0006287', 'GO:0033151', 'GO:0006266', 'GO:0042542', 'GO:0006284', 'GO:0009653']
hsa:5111	hsa:29935	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0000077', 'GO:0006281', 'GO:0006289', 'GO:0033260', 'GO:0006270']
hsa:5111	hsa:5981	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0000122', 'GO:0045892', 'GO:0006261', 'GO:0007004', 'GO:0045893']
hsa:5111	hsa:27030	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0006974', 'GO:0006298', 'GO:0007140', 'GO:0007144', 'GO:0008104', 'GO:0007130', 'GO:0008150']
hsa:5111	hsa:6742	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0007005', 'GO:0090297', 'GO:0051096', 'GO:0051289', 'GO:0006268']
hsa:5111	hsa:4436	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0006302', 'GO:0014070', 'GO:0045910', 'GO:0043524', 'GO:0045190', 'GO:0008584', 'GO:0001701', 'GO:0016447', 'GO:0008340', 'GO:0048298', 'GO:0042771', 'GO:0031573', 'GO:0009410', 'GO:0007281', 'GO:0051096', 'GO:0030183', 'GO:0071168', 'GO:0007283', 'GO:0008630', 'GO:0051726', 'GO:0006974', 'GO:0006281', 'GO:0006301', 'GO:0016446', 'GO:0019724', 'GO:0002204', 'GO:0006298', 'GO:0010224', 'GO:0043200', 'GO:0010165', 'GO:0006119', 'GO:0043570', 'GO:0048304']
hsa:5111	hsa:6119	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0000724', 'GO:0006281', 'GO:0006298', 'GO:0006260', 'GO:0006289', 'GO:0007346', 'GO:0000723', 'GO:0042127', 'GO:0006284']
hsa:5111	hsa:6118	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0034502', 'GO:0000724', 'GO:0006298', 'GO:0006260', 'GO:0006289', 'GO:0010569', 'GO:0000723', 'GO:2000001', 'GO:0031571', 'GO:0006284']
hsa:5111	hsa:5395	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']	['GO:0048304', 'GO:0048298', 'GO:0006974', 'GO:0006281', 'GO:0006298', 'GO:0051321', 'GO:0016447', 'GO:0016446']
hsa:57804	hsa:9156	['GO:0001938', 'GO:0006261']	['GO:0002455', 'GO:0006298', 'GO:0006281', 'GO:0045190', 'GO:0006310', 'GO:0090656', 'GO:0016446', 'GO:0008150']
hsa:57804	hsa:5982	['GO:0001938', 'GO:0006261']	['GO:0006261', 'GO:1900264', 'GO:0008150']
hsa:57804	hsa:2956	['GO:0001938', 'GO:0006261']	['GO:0045910', 'GO:0006298', 'GO:0006281', 'GO:0045190', 'GO:0097193', 'GO:0051096', 'GO:0009411', 'GO:0043570', 'GO:0016447', 'GO:0008340', 'GO:0016446', 'GO:0008630']
hsa:57804	hsa:4292	['GO:0001938', 'GO:0006261']	['GO:0045132', 'GO:0045190', 'GO:0045143', 'GO:0051321', 'GO:0001666', 'GO:0051257', 'GO:0045950', 'GO:0016447', 'GO:0048298', 'GO:0009410', 'GO:0006303', 'GO:0009617', 'GO:0000712', 'GO:0045141', 'GO:0007283', 'GO:0008630', 'GO:0006974', 'GO:0006281', 'GO:0007129', 'GO:0009636', 'GO:0071407', 'GO:0043060', 'GO:0016446', 'GO:0002204', 'GO:0007060', 'GO:0016321', 'GO:0006298', 'GO:0007140', 'GO:0000289', 'GO:0048477', 'GO:0048304', 'GO:0007131']
hsa:57804	hsa:6117	['GO:0001938', 'GO:0006261']	['GO:0034502', 'GO:0051276', 'GO:0006974', 'GO:0000724', 'GO:0006281', 'GO:0006298', 'GO:0006260', 'GO:0006289', 'GO:0006310', 'GO:1990166', 'GO:0051321', 'GO:0000723', 'GO:0006261', 'GO:0008284', 'GO:0001701', 'GO:0030097', 'GO:0006284', 'GO:0048873']
hsa:57804	hsa:10714	['GO:0001938', 'GO:0006261']	['GO:0006297', 'GO:0006261', 'GO:0042276', 'GO:0071897']
hsa:57804	hsa:5984	['GO:0001938', 'GO:0006261']	['GO:0006261', 'GO:1900264', 'GO:0006271', 'GO:0008150']
hsa:57804	hsa:5424	['GO:0001938', 'GO:0006261']	['GO:0055089', 'GO:0006281', 'GO:0006260', 'GO:0009411', 'GO:0006287', 'GO:0034644', 'GO:0006297', 'GO:0000731', 'GO:0006261', 'GO:0045004', 'GO:0070987', 'GO:0071897']
hsa:57804	hsa:5983	['GO:0001938', 'GO:0006261']	['GO:0046683', 'GO:0006260', 'GO:0000731', 'GO:0006261', 'GO:1900264', 'GO:0006271', 'GO:0008150']
hsa:57804	hsa:5425	['GO:0001938', 'GO:0006261']	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']
hsa:57804	hsa:5111	['GO:0001938', 'GO:0006261']	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']
hsa:57804	hsa:5985	['GO:0001938', 'GO:0006261']	['GO:0006261', 'GO:1900264', 'GO:0008150']
hsa:57804	hsa:4437	['GO:0001938', 'GO:0006261']	['GO:0045910', 'GO:0006298', 'GO:0006281', 'GO:0051096', 'GO:0043570', 'GO:0016447', 'GO:0016446']
hsa:57804	hsa:3978	['GO:0001938', 'GO:0006261']	['GO:0006303', 'GO:0006281', 'GO:0006298', 'GO:0006260', 'GO:0006287', 'GO:0033151', 'GO:0006266', 'GO:0042542', 'GO:0006284', 'GO:0009653']
hsa:57804	hsa:29935	['GO:0001938', 'GO:0006261']	['GO:0000077', 'GO:0006281', 'GO:0006289', 'GO:0033260', 'GO:0006270']
hsa:57804	hsa:5981	['GO:0001938', 'GO:0006261']	['GO:0000122', 'GO:0045892', 'GO:0006261', 'GO:0007004', 'GO:0045893']
hsa:57804	hsa:27030	['GO:0001938', 'GO:0006261']	['GO:0006974', 'GO:0006298', 'GO:0007140', 'GO:0007144', 'GO:0008104', 'GO:0007130', 'GO:0008150']
hsa:57804	hsa:6742	['GO:0001938', 'GO:0006261']	['GO:0007005', 'GO:0090297', 'GO:0051096', 'GO:0051289', 'GO:0006268']
hsa:57804	hsa:4436	['GO:0001938', 'GO:0006261']	['GO:0006302', 'GO:0014070', 'GO:0045910', 'GO:0043524', 'GO:0045190', 'GO:0008584', 'GO:0001701', 'GO:0016447', 'GO:0008340', 'GO:0048298', 'GO:0042771', 'GO:0031573', 'GO:0009410', 'GO:0007281', 'GO:0051096', 'GO:0030183', 'GO:0071168', 'GO:0007283', 'GO:0008630', 'GO:0051726', 'GO:0006974', 'GO:0006281', 'GO:0006301', 'GO:0016446', 'GO:0019724', 'GO:0002204', 'GO:0006298', 'GO:0010224', 'GO:0043200', 'GO:0010165', 'GO:0006119', 'GO:0043570', 'GO:0048304']
hsa:57804	hsa:6119	['GO:0001938', 'GO:0006261']	['GO:0000724', 'GO:0006281', 'GO:0006298', 'GO:0006260', 'GO:0006289', 'GO:0007346', 'GO:0000723', 'GO:0042127', 'GO:0006284']
hsa:57804	hsa:6118	['GO:0001938', 'GO:0006261']	['GO:0034502', 'GO:0000724', 'GO:0006298', 'GO:0006260', 'GO:0006289', 'GO:0010569', 'GO:0000723', 'GO:2000001', 'GO:0031571', 'GO:0006284']
hsa:57804	hsa:5395	['GO:0001938', 'GO:0006261']	['GO:0048304', 'GO:0048298', 'GO:0006974', 'GO:0006281', 'GO:0006298', 'GO:0051321', 'GO:0016447', 'GO:0016446']
hsa:5985	hsa:9156	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0002455', 'GO:0006298', 'GO:0006281', 'GO:0045190', 'GO:0006310', 'GO:0090656', 'GO:0016446', 'GO:0008150']
hsa:5985	hsa:5982	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0006261', 'GO:1900264', 'GO:0008150']
hsa:5985	hsa:2956	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0045910', 'GO:0006298', 'GO:0006281', 'GO:0045190', 'GO:0097193', 'GO:0051096', 'GO:0009411', 'GO:0043570', 'GO:0016447', 'GO:0008340', 'GO:0016446', 'GO:0008630']
hsa:5985	hsa:4292	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0045132', 'GO:0045190', 'GO:0045143', 'GO:0051321', 'GO:0001666', 'GO:0051257', 'GO:0045950', 'GO:0016447', 'GO:0048298', 'GO:0009410', 'GO:0006303', 'GO:0009617', 'GO:0000712', 'GO:0045141', 'GO:0007283', 'GO:0008630', 'GO:0006974', 'GO:0006281', 'GO:0007129', 'GO:0009636', 'GO:0071407', 'GO:0043060', 'GO:0016446', 'GO:0002204', 'GO:0007060', 'GO:0016321', 'GO:0006298', 'GO:0007140', 'GO:0000289', 'GO:0048477', 'GO:0048304', 'GO:0007131']
hsa:5985	hsa:6117	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0034502', 'GO:0051276', 'GO:0006974', 'GO:0000724', 'GO:0006281', 'GO:0006298', 'GO:0006260', 'GO:0006289', 'GO:0006310', 'GO:1990166', 'GO:0051321', 'GO:0000723', 'GO:0006261', 'GO:0008284', 'GO:0001701', 'GO:0030097', 'GO:0006284', 'GO:0048873']
hsa:5985	hsa:10714	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0006297', 'GO:0006261', 'GO:0042276', 'GO:0071897']
hsa:5985	hsa:5984	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0006261', 'GO:1900264', 'GO:0006271', 'GO:0008150']
hsa:5985	hsa:5424	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0055089', 'GO:0006281', 'GO:0006260', 'GO:0009411', 'GO:0006287', 'GO:0034644', 'GO:0006297', 'GO:0000731', 'GO:0006261', 'GO:0045004', 'GO:0070987', 'GO:0071897']
hsa:5985	hsa:5983	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0046683', 'GO:0006260', 'GO:0000731', 'GO:0006261', 'GO:1900264', 'GO:0006271', 'GO:0008150']
hsa:5985	hsa:5425	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0006260', 'GO:0006261', 'GO:0042276', 'GO:0071897']
hsa:5985	hsa:5111	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0071466', 'GO:0070301', 'GO:0033993', 'GO:0071548', 'GO:0045740', 'GO:0030855', 'GO:0006287', 'GO:0046686', 'GO:0031297', 'GO:1902990', 'GO:0000122', 'GO:0019985', 'GO:0007507', 'GO:0032355', 'GO:1902065', 'GO:0032077', 'GO:0006979', 'GO:0097421', 'GO:1900264', 'GO:0006298', 'GO:0034644', 'GO:0044849', 'GO:0045739']
hsa:5985	hsa:57804	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0001938', 'GO:0006261']
hsa:5985	hsa:4437	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0045910', 'GO:0006298', 'GO:0006281', 'GO:0051096', 'GO:0043570', 'GO:0016447', 'GO:0016446']
hsa:5985	hsa:3978	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0006303', 'GO:0006281', 'GO:0006298', 'GO:0006260', 'GO:0006287', 'GO:0033151', 'GO:0006266', 'GO:0042542', 'GO:0006284', 'GO:0009653']
hsa:5985	hsa:29935	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0000077', 'GO:0006281', 'GO:0006289', 'GO:0033260', 'GO:0006270']
hsa:5985	hsa:5981	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0000122', 'GO:0045892', 'GO:0006261', 'GO:0007004', 'GO:0045893']
hsa:5985	hsa:27030	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0006974', 'GO:0006298', 'GO:0007140', 'GO:0007144', 'GO:0008104', 'GO:0007130', 'GO:0008150']
hsa:5985	hsa:6742	['GO:0006261', 'GO:1900264', 'GO:0008150']	['GO:0007005', 'GO:0090297', 'GO:0051096', 'GO:0051289', 'GO:0006268']
